Aaron,Cockle,A14,
Aatmaja,Pandya,,N4
Acacia,Hope,,I6
Adam,Aylard,,M12-14
Adam T.,Jones,,H2
Aja,Moore,,W83A
Alan,Brown,,F12
Alden,Viguilla,,W36B
Alec,McGovern,,G5B
Alex,Delaney,,D1
Alex,Spiro,,W76-78
Alexander,Gates,,B8B
Alexandra,Beguez,,F2
Alexis,Ziritt,,W44-46
Ally Rom,Coltoff,,L8-9
Alyssa,Truszkowski,Werdy Girl,A12B
Amanda,Spaid,,H2
Amanda,Scurti,,G7
Amanda,Coronado,,W74
Amelia,Onorato,,H4
Amy,Duengfelder,,B8B
Amy,Godfrey,Durham County Library,W7-8A
Ananth,Hirsh,,W70B
Andrea,Kalfas,,F6-7
Andrea,Tsurumi,,M4
Andrew,Cohen,DC Conspiracy,W10-15
Andrew,MacLean,,W44-46
Andy,Warner,,C5
Andy,Burkholder,,A10
Angela,Sprecher,,I11B
Ann,Uland,,H10-11
Ann,Couddou,,W39
Anna,Bongiovanni,,A12A
Anna,McGlynn,,B13A
Anna,Ehrlemark,Floating World Comics / Study Group,J8-9
Anna,Sellheim,,K10B
Anna,Petrillo,,W48
Anne,Ishii,Massive Goods,L11B-12A
Anne,Thalheimer,,M10
Annie,Stoll,,C14
Annie,Koyama,Koyama Press,L1-2
Anthony,Meloro,,A5A
Anthony,Clark,,"W23-25, W28-29"
Arlin,Ortiz,,C3
Audrey,Noguchi,,E8
Avery Hill Publishing,,,D8
Autumn,Crossman-Serb,,C8
Autumn,Haynes,,G5A
Barbara,Geoghegan,,B10B
Barbara,Guttman,,B8A
Barry,Matthews,Secret Acres,L3-4
Becky,Dreistadt,,W30
Ben,Horak,,C6
Ben,Towle,Oni Press,E4B-5A
Ben,Steckler,Ben T. Steckler,J6
Ben,Sears,,L1-2
Ben,Marra,,N10
Bendik,Kaltenborn,,W1-4
Benn,Ray,,J7
Beth,Hetland,,C5
Beth,Heinly,,M5A
Betsy,Brock,,E7
Big Planet Comics,,,D8
Bill,Macken,,L14
Bill,Griffith,,W56-61
Bizhan,Khodabandeh,,G12B
Blaise,Larmee,,A10
Blue,Delliquanti,,N12A
Bobby,Campbell,,G14
Box,Brown,Retrofit Comics,D8
Brad,DeRocher,,B2B
Brandon,Lehmann,,D4
Brecht,Vandenbroucke,,"W1-4, W76-79A"
